PCA_HC_sub5005 ()*			EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB	
Systematic	Common	Value	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	
ENSMUSG00000031871	Cdh5	endothelial	7.380919	4.6145115	5.756579	1.528358	1.3437922	1	1.071877	1.0547245	1.392906	1.0977874	1	1.3207848	1.0443355	1.0189292	1	1.1115632	1.1720495	
ENSMUSG00000053062	Jam2	endothelial	2.5594907	1.2427413	1.5624247	1	1	1	1.0302802	1	1.1844394	1	1	1	1.8566593	1.3464249	1.0044159	1.2041343	1	
ENSMUSG00000029084	Cd38	endothelial	1.906391	2.7382796	2.0402145	1	1.0201272	1	1	1	1.0201676	1	1	1.3295556	1.1436356	1	1	1	1	
ENSMUSG00000048915	Efna5	epithelial	1	1.3986646	1.2660187	2.5218399	2.1866932	4.9037876	1.7620863	1.4742444	1.3675606	1.3009568	1	1.7482734	1.4346056	1.8453861	1	1.3180754	1.6239038	
ENSMUSG00000036585	Fgf1	epithelial	1.4070352	1	1.0936097	2.830702	2.5945568	2.7508862	2.3363118	1	1	1	1	1	1	1	1	1.0501244	1.1087438	
ENSMUSG00000001496	Nkx2-1	epithelial	1.029135	1.0177585	1.0131341	3.417385	1.2315135	1.7316339	2.9731338	1	1	1.0178564	1	1	1	1.1174666	1.0928227	1	1.0378761	
ENSMUSG00000026235	Epha4	epithelial	1.2230318	1	1.4607568	1.0644779	1.1827197	2.1656775	2.9108503	1	1	1.1643127	1	1	1.0757047	1.0287395	1.3854316	1.2633955	1.3296992	
ENSMUSG00000037820	Tgm2	matrix fibroblast	1.625521	1.0254718	1.7433234	1	1.0510426	1.4229695	1.3200046	1.7519499	1.9353501	2.1254804	1	1	1.6408819	1.4985063	1.1769567	1.3984964	1	
ENSMUSG00000005320	Fgfr4	matrix fibroblast	1.1116891	1	1.311459	1	1.1649765	1.302392	1.1194446	1.1590103	2.00281	2.3708494	1	1.2282529	1.3473431	1.4326489	1.0094153	1.4359112	1	
ENSMUSG00000019929	Dcn	pericyte	1	1.1734632	1.2075282	1	1.3810915	1	1	1.6499627	1.1718162	1	1	1	2.5414944	1.7931015	2.2209163	1.7713608	1.3336945	
ENSMUSG00000038146	Notch3	pericyte	1	1.3488117	1.169927	1.3790225	1.6657648	1.6420443	1	1.2490114	1.0287925	1.0463358	1	1	1.2481724	1.0913157	3.9074752	1	1.1099414	
ENSMUSG00000024304	Cdh2	pericyte	1	1.1566197	1	1.1991332	1.2909266	1	1	1	1.1269169	1.1475418	1	1	1	1	5.3981285	1.1454434	1	
