44_final_HCR_geneCandidates																																								
PCA_HC_sub5005 ()*			EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB	EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB				
Systematic	Common	Value	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	log2(fpkm+1)	Genbank	Gene Symbol	human ortholog gene ID	Entrez Gene ID
ENSMUSG00000020154	Ptprb	endothelial	4.2145395	2.2791238	3.5580406	1	1	1	1.015411	1.122942	1.1985923	1	1	1	1	1	1	1.0193952	1	4.742711	2.691195	4.2489824	0.0699444	0.20868094	0	0.30621845	0.45432195	0.7491114	0.11696838	0.20789129	0.06654288	0.29548582	0.23771991	0.15372202	0.30897552	0.2386173	5787		5787	
ENSMUSG00000020717	Pecam1	endothelial	7.1296644	7.656151	5.5301576	1	1.7790434	1	1.3252891	1.0826116	1.4111959	1.3155724	1.6119615	1.1068821	1.0591627	1.0884333	1.3831365	1.1489891	1.1067903	7.236626	7.6852384	6.0696483	0	1.8790824	0	1.0018159	0.37580675	1.3862352	1.2100914	1.7308261	0.72280663	0.5163887	0.6055653	1.1389169	0.6389558	0.6298604	5175		5175	
ENSMUSG00000031871	Cdh5	endothelial	7.380919	4.6145115	5.756579	1.528358	1.3437922	1	1.071877	1.0547245	1.392906	1.0977874	1	1.3207848	1.0443355	1.0189292	1	1.1115632	1.1720495	7.391048	4.9207487	5.8972096	1.3828623	1.052411	0.08137863	0.53273976	0.36670128	1.2188455	0.3328813	0.022379521	0.88910174	0.4226474	0.40080607	0.32165593	0.61951256	0.7834757	1003		1003	
ENSMUSG00000000489	Pdgfb	endothelial	4.111529	2.5339622	2.2419667	1	1.2979231	1	1.1877413	1	1.4019285	1.002657	1.6924363	1	1	1	1.3344961	1.0532264	1.020204	4.9358573	3.045786	2.8074746	0	0.954918	0.047350194	0.6496509	0	1.2747748	0.14553544	2.0511122	0.07842171	0.11244273	0.19496042	0.96783173	0.28563547	0.29532984	5155		5155	
ENSMUSG00000030516	Tjp1	endothelial	3.5737028	2.3569965	2.2573771	1.0829734	1.807578	2.5291393	1.7706691	0.90180916	1.4640354	0.81082594	0.7321788	0.85429	0.98058474	1.2443238	0.7818531	1.0822399	1.0078831	5.4106526	3.9263484	4.0592113	1.3855797	3.223847	4.1846724	2.9990783	0.8201345	2.6478248	0.6880404	0.39905453	0.745374	1.2049766	1.8922763	0.5698025	1.4842052	1.3229032	7082		7082	
ENSMUSG00000041378	Cldn5	endothelial	6.1048203	2.0784879	2.1359954	1	1.0075407	1	1	1	1.0198492	1	1	1	1	1	1	1.0110542	1	6.3508167	2.3756258	2.6555429	0	0.15057059	0	0.037195034	0.023594663	0.16528784	0	0	0.06764061	0.17573707	0	0	0.11748378	0.1470353	7122		7122	
ENSMUSG00000026181	Ppm1f	endothelial	3.258961	1.4125106	1.9055649	1	1.1715151	1.0720655	1.024291	1.2223526	1	1.3680158	1	1	1.183134	1	1.3463519	1	1.2690741	3.8285134	1.1331458	2.0848284	0.089261934	0.49609524	0.35975644	0.13514045	0.6320444	0.12505597	0.88025	0	0.03361388	0.47794953	0.027382903	0.88475454	0.02131699	0.8243511	9647		9647	
ENSMUSG00000015468	Notch4	endothelial	2.1200855	1.2729273	1.2547572	1	1	1	1.0921457	1	1.0701014	1	1	1	1	1	1	1.0419888	1	2.3822095	0.7222134	0.7290849	0	0.15298934	0	0.24555954	0.013131714	0.18442544	0	0	0	0	0.07444893	0	0.11498584	0.07747525	4855		4855	
ENSMUSG00000053062	Jam2	endothelial	2.5594907	1.2427413	1.5624247	1	1	1	1.0302802	1	1.1844394	1	1	1	1.8566593	1.3464249	1.0044159	1.2041343	1	3.0059671	0.7219657	1.3793013	0	0	0.06598155	0.12621659	0.015034922	0.49426872	0	0	0	1.8985608	0.8672243	0.20445509	0.59944147	0.04811134	58494		58494	
