PCA_HC_sub5005 ()*			EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB
Systematic	Common	Value	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized
ENSMUSG00000020154	Ptprb	endothelial	4.2145395	2.2791238	3.5580406	1	1	1	1.015411	1.122942	1.1985923	1	1	1	1	1	1	1.0193952	1
ENSMUSG00000020717	Pecam1	endothelial	7.1296644	7.656151	5.5301576	1	1.7790434	1	1.3252891	1.0826116	1.4111959	1.3155724	1.6119615	1.1068821	1.0591627	1.0884333	1.3831365	1.1489891	1.1067903
ENSMUSG00000031871	Cdh5	endothelial	7.380919	4.6145115	5.756579	1.528358	1.3437922	1	1.071877	1.0547245	1.392906	1.0977874	1	1.3207848	1.0443355	1.0189292	1	1.1115632	1.1720495
ENSMUSG00000000489	Pdgfb	endothelial	4.111529	2.5339622	2.2419667	1	1.2979231	1	1.1877413	1	1.4019285	1.002657	1.6924363	1	1	1	1.3344961	1.0532264	1.020204
ENSMUSG00000030516	Tjp1	endothelial	3.5737028	2.3569965	2.2573771	1.0829734	1.807578	2.5291393	1.7706691	0.90180916	1.4640354	0.81082594	0.7321788	0.85429	0.98058474	1.2443238	0.7818531	1.0822399	1.0078831
ENSMUSG00000041378	Cldn5	endothelial	6.1048203	2.0784879	2.1359954	1	1.0075407	1	1	1	1.0198492	1	1	1	1	1	1	1.0110542	1
ENSMUSG00000026181	Ppm1f	endothelial	3.258961	1.4125106	1.9055649	1	1.1715151	1.0720655	1.024291	1.2223526	1	1.3680158	1	1	1.183134	1	1.3463519	1	1.2690741
ENSMUSG00000015468	Notch4	endothelial	2.1200855	1.2729273	1.2547572	1	1	1	1.0921457	1	1.0701014	1	1	1	1	1	1	1.0419888	1
ENSMUSG00000053062	Jam2	endothelial	2.5594907	1.2427413	1.5624247	1	1	1	1.0302802	1	1.1844394	1	1	1	1.8566593	1.3464249	1.0044159	1.2041343	1
ENSMUSG00000029084	Cd38	endothelial	1.906391	2.7382796	2.0402145	1	1.0201272	1	1	1	1.0201676	1	1	1.3295556	1.1436356	1	1	1	1
ENSMUSG00000070473	Cldn3	epithelial	1.0170637	1.0531273	1.2898812	8.800982	5.3623023	8.641327	7.3787055	1.1789621	1.086475	1.3116325	1.1053168	1.2688426	1.3465234	1.0903126	1.130012	1.1629878	1.1528859
ENSMUSG00000023906	Cldn6	epithelial	1	1	1	2.602513	3.1715572	8.493406	6.766935	1	1	1	1	1	1	1	1	1.0491978	1
ENSMUSG00000068876	Cgn	epithelial	1	1	1	6.486558	5.832007	2.5023315	4.2666054	1	1	1	1	1	1	1	1	1	1
ENSMUSG00000048915	Efna5	epithelial	1	1.3986646	1.2660187	2.5218399	2.1866932	4.9037876	1.7620863	1.4742444	1.3675606	1.3009568	1	1.7482734	1.4346056	1.8453861	1	1.3180754	1.6239038
ENSMUSG00000036585	Fgf1	epithelial	1.4070352	1	1.0936097	2.830702	2.5945568	2.7508862	2.3363118	1	1	1	1	1	1	1	1	1.0501244	1.1087438
ENSMUSG00000031145	Prickle3	epithelial	1.9714888	1.3678819	1.591352	4.9849463	1	4.845452	2.544349	1.1640579	1.0296174	1.0963085	1	1.9039187	1	1.694628	1.3781005	1.2172596	1.1251566
ENSMUSG00000001496	Nkx2-1	epithelial	1.029135	1.0177585	1.0131341	3.417385	1.2315135	1.7316339	2.9731338	1	1	1.0178564	1	1	1	1.1174666	1.0928227	1	1.0378761
ENSMUSG00000037016	Frem2	epithelial	1	1	1.0441086	1.3961258	1.172778	2.62797	2.8032827	1	1	1	1	1	1.7203603	1	1	1.0374588	1
ENSMUSG00000026235	Epha4	epithelial	1.2230318	1	1.4607568	1.0644779	1.1827197	2.1656775	2.9108503	1	1	1.1643127	1	1	1.0757047	1.0287395	1.3854316	1.2633955	1.3296992
ENSMUSG00000028040	Efna4	epithelial	1.2872844	1.233047	1	1	1	2.3988497	1.9420173	1	1.0418026	1.2521722	1.3680274	1.0235198	1	1.2735996	1.8372642	1.1820532	1.2635134
ENSMUSG00000029134	Plb1	epithelial	1	1	1	1.6602868	1.4771495	3.533557	1.7643538	1	1	1	1	1	1	1	1	1	1
ENSMUSG00000027962	Vcam1	pan-fibroblast	0.4498596	0.753369	1.4424294	0.4498596	0.9907884	0.4498596	0.78514165	1.9833988	1.7159897	3.367949	0.73394644	0.8225013	0.93590266	0.863847	0.72053075	1.0828792	1.9106846
ENSMUSG00000037820	Tgm2	matrix fibroblast	1.625521	1.0254718	1.7433234	1	1.0510426	1.4229695	1.3200046	1.7519499	1.9353501	2.1254804	1	1	1.6408819	1.4985063	1.1769567	1.3984964	1
